Address,Quality,Size,Name
0x000000710000b990,U,000204,_ZN6BunbunC1EPKc
0x000000710000ba60,U,001364,_ZN6Bunbun4initERKN2al13ActorInitInfoE
0x000000710000c000,U,000132,_ZN6Bunbun7controlEv
0x000000710000c200,U,000192,_ZNK6Bunbun14isEnableAttackEv
0x000000710000c2c0,U,001068,FUN_710000c2c0
0x000000710000c700,U,000016,FUN_710000c700
0x000000710000c710,U,000016,FUN_710000c710
0x000000710000c720,U,000012,FUN_710000c720
0x000000710000c72c,U,000001,FUN_710000c72c
0x000000710000cbc0,U,000412,710000cbc0__Bunbun::exeDown
0x000000710000d300,U,000064,710000d300__Bunbun::exeSpinAttack
0x000000710000d340,U,000084,FUN_710000d340
0x000000710000d590,U,000136,FUN_710000d590
0x000000710000d720,U,000364,_ZNK9BunbunArm13isHitCylinderEPN2al9HitSensorES2_
0x000000710000d8d0,U,000168,_ZN15BunbunChameleonC1EPKc
0x000000710000dc70,U,000136,FUN_710000dc70
0x000000710000e000,U,000220,_ZN11BunbunShell13reflectSensorEPN2al9HitSensorES2_
0x000000710000e340,U,000460,_ZN22BunbunStateShellAttackC2EPN2al9LiveActorERKNS0_13ActorInitInfoE
0x000000710000e580,U,000556,FUN_710000e580
0x000000710000e7b0,U,000216,_ZN22BunbunStateShellAttack14exeChangeShellEv
0x000000710000e890,U,000188,_ZN22BunbunStateShellAttack13exeAttackSignEv
0x000000710000e950,U,000304,_ZN22BunbunStateShellAttack14exeAttackStartEv
0x000000710000ea80,U,000480,710000ea80__BunbunStateShellAttack::exeSpin
0x000000710000ec60,U,000356,_ZN22BunbunStateShellAttack14tryReflectWallEv
0x000000710000ef80,U,000132,_ZN22BunbunStateShellAttack15exeRecoverShellEv
0x000000710000f010,U,000036,FUN_710000f010
0x000000710000f0e0,U,000692,_ZN21BunbunStateSpinAttackC2EPN2al9LiveActorERKNS0_13ActorInitInfoE
0x000000710000f3a0,U,000176,_ZN21BunbunStateSpinAttack6appearEv
0x000000710000f450,U,000052,_ZN21BunbunStateSpinAttack4killEv
0x000000710000f490,U,000176,_ZN21BunbunStateSpinAttack13exeAttackSignEv
0x000000710000f540,U,000404,_ZN21BunbunStateSpinAttack14exeAttackStartEv
0x000000710000f6e0,U,000244,_ZN21BunbunStateSpinAttack15startKouraThrowEv
0x000000710000f7e0,U,001308,_ZN21BunbunStateSpinAttack9exeAttackEv
0x000000710000fd00,U,000360,_ZN21BunbunStateSpinAttack12exeAttackEndEv
0x000000710000fe70,U,000196,_ZN21BunbunStateSpinAttack13endKouraThrowEv
0x000000710000ff40,U,000192,_ZN21BunbunStateSpinAttack9endAttackEv
0x0000007100010000,U,000104,_ZN21BunbunStateSpinAttack19requestReactionAnimEv
0x0000007100010070,U,000012,FUN_7100010070
0x0000007100010080,U,000092,_ZN21BunbunStateSpinAttack14setRumbleScaleEf
0x00000071000100e0,U,000072,_ZN21BunbunStateSpinAttack25setInvalidateClippingFlagEv
0x0000007100010130,U,000308,_ZN21BunbunStateSpinAttack11setKouraPosEv
0x0000007100010270,U,000164,_ZN21BunbunStateSpinAttack11appearKouraEv
0x0000007100010320,U,000036,FUN_7100010320
0x0000007100010350,U,000036,7100010350__BunbunStateSpinAttack::~BunbunStateSpinAttack
0x00000071000103c0,U,001120,_ZN10DarkBowserC1EPKc
0x0000007100010820,U,000924,_ZN10DarkBowser4initERKN2al13ActorInitInfoE
0x0000007100010bc0,U,000456,_ZN10DarkBowser16initBattleHealthERKN2al13ActorInitInfoEi
0x0000007100010d90,U,000040,FUN_7100010d90
0x0000007100010dc0,U,000140,_ZN10DarkBowser15resetHitSensorsEv
0x0000007100010e50,U,000724,_ZN10DarkBowser15createCutscenesERKN2al13ActorInitInfoE
0x0000007100011130,U,000516,_ZN10DarkBowser15calcPlayerSpawnERKN2al13ActorInitInfoE
0x0000007100011340,U,001436,_ZN10DarkBowser17createChildActorsERKN2al13ActorInitInfoE
0x00000071000118dc,U,000001,FUN_71000118dc
0x00000071000118e0,U,000452,_ZN10DarkBowser22initGraphicsAndEffectsERKN2al13ActorInitInfoE
0x0000007100011ab0,U,000460,_ZN10DarkBowser8initDemoEi
0x0000007100012220,U,000216,_ZN10DarkBowser14setGigaBellPosEv
0x0000007100012630,U,000240,_ZNK10DarkBowser13saveHitPointsEv
0x0000007100012720,U,000172,_ZN10DarkBowser16forceKillObjectsEv
0x00000071000127d0,U,000256,_ZNK10DarkBowser12initCutsceneERKN2al13ActorInitInfoEPKcS5_b
0x00000071000128d0,U,000212,_ZN10DarkBowser18requestHitReactionEPKc
0x00000071000129b0,U,000064,_ZN10DarkBowser16requestSmallBlurEPKN4sead7Vector3IfEE
0x00000071000129f0,U,000064,FUN_71000129f0
0x0000007100012a30,U,000064,FUN_7100012a30
0x0000007100012a70,U,000048,_ZN10DarkBowser8jointAimERKN4sead7Vector3IfEE
0x0000007100012aa0,U,000056,FUN_7100012aa0
0x0000007100012ae0,U,000136,_ZN10DarkBowser13requestDamageEi
0x0000007100012b70,U,000096,FUN_7100012b70
0x0000007100012c20,U,000016,FUN_7100012c20
0x0000007100012c30,U,000084,_ZN10DarkBowser16getDeadInkPuddleEv
0x0000007100012c90,U,000064,FUN_7100012c90
0x0000007100012cd0,U,000064,FUN_7100012cd0
0x0000007100012d10,U,000136,_ZNK10DarkBowser15getDeadRingBeamEv
0x00000071000133b0,U,000044,FUN_71000133b0
0x00000071000133dc,U,000001,FUN_71000133dc
0x00000071000133e0,U,001348,_ZN16DarkBowserBattleC2EP10DarkBowserRKN2al13ActorInitInfoE
0x0000007100013e40,U,000328,_ZN16DarkBowserBattle21updateTrackedPositionEv
0x0000007100013f90,U,000312,_ZN16DarkBowserBattle21calcAndSetEyePositionEv
0x0000007100014620,U,000904,_ZN16DarkBowserBattle9exeDamageEv
0x0000007100014fd0,U,000568,_ZN14DarkBowserJumpC2EP10DarkBowserRKN2al13ActorInitInfoE
0x00000071000153a0,U,000420,_ZN14DarkBowserJump16calcJumpPositionEv
0x0000007100015800,U,000456,_ZN19DarkBowserStateDemoC1EP10DarkBowserRKN2al13ActorInitInfoE
0x00000071000161d0,U,000172,_ZN24DarkBowserLaserIndicatorC1EPKc
0x0000007100016280,U,000124,_ZN24DarkBowserLaserIndicator4initERKN2al13ActorInitInfoE
0x0000007100016300,U,000244,_ZN24DarkBowserLaserIndicator8initYamlEv
0x0000007100016400,U,000104,_ZN24DarkBowserLaserIndicator6fadeInEPKN2al9LiveActorES3_j
0x0000007100016470,U,000068,FUN_7100016470
0x00000071000164c0,U,000036,FUN_71000164c0
0x00000071000164f0,U,000752,FUN_71000164f0
0x0000007100016820,U,000040,FUN_7100016820
0x0000007100016930,U,000236,_ZN2rc9HealthBarC2EPKN2al9LiveActorERKNS1_14LayoutInitInfoEPFfS4_EPKc
0x0000007100016b80,U,000300,_ZN2rc9HealthBar15updateHealthBarEv
0x0000007100016de0,U,000104,_ZN2rc9HealthBar11startAppearEb
0x0000007100016e50,U,000012,FUN_7100016e50
0x0000007100016e60,U,000012,FUN_7100016e60
0x0000007100016ee0,U,000008,7100016ee0__al::LayoutActor::getNerveKeeper
0x0000007100016ef0,U,000048,_ZNK2al11LayoutActor7getNameEv
0x0000007100016f20,U,000008,7100016f20__al::LayoutActor::getEffectKeeper
0x0000007100016f30,U,000008,7100016f30__al::LayoutActor::getAudioKeeper
0x0000007100016f40,U,000008,7100016f40__al::LayoutActor::getLayoutActionKeeper
0x0000007100016f50,U,000008,7100016f50__al::LayoutActor::getLayoutKeeper
0x0000007100016f60,U,000004,7100016f60__al::LayoutActor::control
0x0000007100016f70,U,000056,_ZTv0_n24_NK2al11LayoutActor7getNameEv
0x0000007100016fb0,U,000008,7100016fb0__al::LayoutActor::getLayoutKeeper
0x0000007100016fc0,U,000008,7100016fc0__al::LayoutActor::getLayoutActionKeeper
0x0000007100016ff0,U,000008,7100016ff0__al::LayoutActor::getAudioKeeper
0x0000007100017000,U,000008,7100017000__al::LayoutActor::getEffectKeeper
0x00000071000171ac,U,000001,FUN_71000171ac
0x00000071000171b0,U,000200,_ZN7InkBombC1EPKcPKN2al9LiveActorE
0x0000007100017670,U,000668,_ZNK7InkBomb9canKickedEPKN2al9SensorMsgEPNS0_9HitSensorES5_
0x0000007100017910,U,000264,_ZN7InkBomb19setupEffectMaterialEv
0x0000007100018290,U,000232,_ZN7InkBomb14updateColliderEv
0x0000007100018380,U,000344,_ZN7InkBomb6thrownENS_4TypeERKN4sead7Vector3IfEEfbb
0x0000007100018dc0,U,000264,_ZN16DarkBowserDamageC1EP10DarkBowserRKN2al13ActorInitInfoE
0x0000007100019030,U,000252,_ZN16DarkBowserDamage17pushReleasePlayerEv
0x0000007100019ea0,U,000108,_ZNK16DarkBowserDamage11checkDefeatEv
0x0000007100019f10,U,000520,_ZN16DarkBowserDamage13calcEffectMtxEPKN2al9HitSensorES3_b
0x000000710001a120,U,000260,FUN_710001a120
0x000000710001a230,U,000468,_ZN16DarkBowserDamage14updateSmallHitEv
0x000000710001ae40,U,000008,FUN_710001ae40
0x000000710001ae50,U,000072,FUN_710001ae50
0x000000710001aea0,U,000016,FUN_710001aea0
0x000000710001af70,U,000200,_ZN18DarkBowserFirebombC2EP10DarkBowserRKN2al13ActorInitInfoE
0x000000710001b0d0,U,000312,_ZN18DarkBowserFirebomb13exeFaceTargetEv
0x000000710001b540,U,000548,_ZN18DarkBowserFirebomb8exeShootEv
0x000000710001b770,U,000888,_ZN18DarkBowserFirebomb11breatheFireEv
0x000000710001bc00,U,000912,_ZN15DarkBowserLaserC2EP10DarkBowserRKN2al13ActorInitInfoE
0x000000710001bf90,U,000148,FUN_710001bf90
0x000000710001c060,U,000364,_ZN15DarkBowserLaser4killEv
0x000000710001c680,U,000228,_ZN15DarkBowserLaser11calcTargetsEv
0x000000710001cc90,U,000604,_ZN15DarkBowserLaser6exeEndEv
0x000000710001cef0,U,000748,_ZNK15DarkBowserLaser16isInLaserFrustumERKN4sead7Vector3IfEEf
0x000000710001d550,U,000456,_ZN19DarkBowserShellDiveC2EP10DarkBowserRKN2al13ActorInitInfoE
0x000000710001d82c,U,000001,FUN_710001d82c
0x000000710001d830,U,000140,_ZN19DarkBowserShellDive4killEv
0x000000710001e140,U,000548,_ZN19DarkBowserShellDive6exeHopEv
0x000000710001e690,U,000260,_ZN19DarkBowserShellDive21tryAppearGuideMessageEv
0x000000710001e870,U,000024,FUN_710001e870
0x000000710001e890,U,000012,FUN_710001e890
0x000000710001e8a0,U,000092,FUN_710001e8a0
0x000000710001e9e0,U,000248,_ZN20DarkBowserShellSpikeC1EP10DarkBowserRKN2al13ActorInitInfoE
0x000000710001ebbc,U,000001,FUN_710001ebbc
0x000000710001ebc0,U,000064,_ZN20DarkBowserShellSpike9forceKillEv
0x000000710001ec00,U,000048,FUN_710001ec00
0x000000710001ee6c,U,000001,FUN_710001ee6c
0x000000710001ee70,U,000920,_ZN20DarkBowserShellSpike7shuffleEv
0x000000710001f210,U,000304,_ZN20DarkBowserShellSpike12launchRandomEv
0x000000710001f530,U,000168,_ZN19DarkBowserShellSpinC1EP10DarkBowserRKN2al13ActorInitInfoE
0x000000710001f850,U,000284,_ZN19DarkBowserShellSpin13calcTargetPosEv
0x000000710001f970,U,000184,_ZN19DarkBowserShellSpin9spinFrontEv
0x000000710001fca0,U,000012,FUN_710001fca0
0x000000710001fcb0,U,000012,FUN_710001fcb0
0x000000710001fd60,U,000176,_ZN14DarkBowserUtil12calculateArcEN4sead7Vector3IfEES2_ffii
0x000000710001fe10,U,000200,_ZN14DarkBowserUtil23graphicsAreaPrioritySetEPN2al9LiveActorEPKci
0x000000710001fee0,U,000168,_ZN14DarkBowserUtil11setSkyToDayEPN2al9LiveActorEPNS0_13SkyProjectionES4_b
0x0000007100020270,U,000520,_ZN14DarkBowserUtil16jointChainAppendEPKN2al9LiveActorERNS_20ControlledJointChainEPKcfff
0x0000007100020c10,U,000368,_ZN14DarkBowserUtil15jointChainPitchERNS_20ControlledJointChainEif
0x0000007100020d80,U,000012,FUN_7100020d80
0x0000007100020d90,U,000128,_ZN14DarkBowserUtil13jointChainAimERNS_20ControlledJointChainERKN4sead7Vector3IfEEf
0x0000007100020e10,U,000088,_ZN14DarkBowserUtil26jointChaimAimNoInterpolateERNS_20ControlledJointChainERKN4sead7Vector3IfEE
0x0000007100020e70,U,000096,_ZN14DarkBowserUtil22jointChainSetPowerRateERNS_20ControlledJointChainEf
